epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4226,0.91256,2.42504,0.97197,1,0.22882,0.3005,0.23405,0.86732,3.09614,0.86764,0.000649123,0.000649123,0.000649123
2,129.292,0.8938,1.73118,0.99043,0.99615,0.75,0.75374,0.51551,1.18469,2.70526,1.04332,0.00130711,0.00130711,0.00130711
3,200.831,0.98553,1.58634,1.06058,1,0.49456,0.74554,0.59745,0.95402,2.46842,1.05399,0.00195629,0.00195629,0.00195629
4,269.496,0.97324,1.60819,1.04057,0.96623,0.75,0.75617,0.625,1.06719,2.52219,1.03045,0.0019604,0.0019604,0.0019604
5,340.117,1.02342,1.58969,1.09513,0.848,0.70202,0.73452,0.5134,0.90979,2.82433,0.98401,0.0019472,0.0019472,0.0019472
6,424.798,0.99796,1.46218,1.03558,0.99467,0.875,0.87547,0.66366,1.01024,1.55213,1.02911,0.001934,0.001934,0.001934
7,497.193,0.99439,1.30326,1.00094,0.988,0.75,0.85896,0.57668,1.12579,1.5173,1.15381,0.0019208,0.0019208,0.0019208
8,568.048,0.91405,1.24949,1.00637,0.76931,0.875,0.77489,0.59772,1.04094,1.45263,1.06634,0.0019076,0.0019076,0.0019076
9,639.779,0.94531,1.25914,1.05127,0.86859,0.875,0.81271,0.64128,0.96897,1.62592,1.06836,0.0018944,0.0018944,0.0018944
10,711.441,0.91962,1.11375,0.99178,1,0.87203,0.87521,0.63814,1.04022,1.39483,1.03608,0.0018812,0.0018812,0.0018812
11,782.542,0.87524,1.0756,0.98146,1,0.74039,0.76037,0.57876,0.97728,1.80721,0.9991,0.001868,0.001868,0.001868
12,852.9,0.90089,1.03393,1.01599,0.97553,0.75,0.84632,0.65244,1.05841,1.4478,1.0648,0.0018548,0.0018548,0.0018548
13,924.094,1.00879,1.09978,1.03912,0.77461,0.86074,0.82918,0.59208,1.08174,1.38647,1.06346,0.0018416,0.0018416,0.0018416
14,997.257,0.87835,1.01889,0.97548,0.98944,0.75,0.81521,0.62826,0.94837,1.34788,1.0074,0.0018284,0.0018284,0.0018284
15,1071.28,0.95166,0.98247,1.02767,0.98636,0.75,0.85896,0.65316,1.03616,1.39444,1.04357,0.0018152,0.0018152,0.0018152
16,1145.98,0.87871,0.8937,0.98076,0.83968,0.65834,0.74785,0.57357,0.95739,1.54595,1.00652,0.001802,0.001802,0.001802
17,1217.31,0.85754,0.85626,0.98699,0.97925,0.75,0.82794,0.67822,0.85416,1.17942,1.00928,0.0017888,0.0017888,0.0017888
18,1286.69,0.91279,0.91063,1.00837,0.97651,0.75,0.85896,0.68209,0.97268,1.21189,1.03296,0.0017756,0.0017756,0.0017756
19,1356.97,0.87786,0.84316,1.00345,0.86324,0.875,0.85896,0.67026,0.97162,1.14703,1.01546,0.0017624,0.0017624,0.0017624
20,1426.82,0.87576,0.8296,0.98746,0.86726,0.875,0.85896,0.6596,0.98512,1.11303,1.01433,0.0017492,0.0017492,0.0017492
21,1666.35,0.88006,0.79463,0.99614,0.98541,0.75,0.83621,0.69402,0.95324,1.0556,1.01948,0.001736,0.001736,0.001736
22,1731.62,0.80295,0.73632,0.96677,1,0.86711,0.87522,0.70489,0.98738,1.08964,1.05351,0.0017228,0.0017228,0.0017228
23,1837.15,0.85399,0.7321,0.98437,0.87485,0.87396,0.8762,0.64547,1.13922,1.02225,1.09761,0.0017096,0.0017096,0.0017096
24,1910.96,0.89477,0.7473,0.99523,0.9924,0.875,0.88912,0.67918,1.01247,0.91779,1.02453,0.0016964,0.0016964,0.0016964
25,1978.26,0.91199,0.72349,1.0169,0.99109,0.75,0.7713,0.6097,0.94644,1.18679,1.04482,0.0016832,0.0016832,0.0016832
26,2053.68,0.82421,0.69484,0.99716,1,0.86713,0.87531,0.71891,0.95997,1.06188,1.04526,0.00167,0.00167,0.00167
27,2123.77,0.87054,0.7102,0.97069,0.99048,0.875,0.8753,0.68516,0.93815,0.90134,1.02398,0.0016568,0.0016568,0.0016568
28,2197.2,0.86797,0.70815,0.97294,0.99101,0.875,0.87531,0.69771,0.99691,0.76873,1.02868,0.0016436,0.0016436,0.0016436
29,2267.52,0.83037,0.70846,0.99358,0.99237,0.875,0.87531,0.67723,1.05737,0.85268,1.0554,0.0016304,0.0016304,0.0016304
30,2339.69,0.87869,0.68593,0.9958,0.99257,0.875,0.87535,0.70793,0.98334,0.88095,1.04492,0.0016172,0.0016172,0.0016172
31,2410.08,0.82607,0.9156,0.9543,0.98954,0.875,0.87535,0.68611,1.11928,1.13943,1.12955,0.001604,0.001604,0.001604
32,2483.13,0.90906,0.80302,1.03689,1,0.87178,0.87536,0.69461,1.00969,0.96831,1.04566,0.0015908,0.0015908,0.0015908
33,2556.03,0.87745,0.69392,0.99464,0.99176,0.875,0.88042,0.71854,0.88031,0.74209,0.99438,0.0015776,0.0015776,0.0015776
34,2631.28,0.82368,0.70989,0.99099,0.99396,0.875,0.89346,0.66976,0.9385,0.77609,0.9862,0.0015644,0.0015644,0.0015644
35,2707.53,0.89813,0.68373,1.01246,1,0.86608,0.939,0.70365,1.00921,0.94851,1.00158,0.0015512,0.0015512,0.0015512
