epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6051,0.52648,0.33153,0.87737,0.99299,0.75,0.90728,0.82208,0.67645,0.64579,0.94026,0.000649123,0.000649123,0.000649123
2,133.062,0.60371,0.39784,0.89385,0.98021,0.75,0.84665,0.73568,0.79121,0.88665,0.99862,0.00130711,0.00130711,0.00130711
3,205.08,0.68286,0.44397,0.89832,0.99185,0.875,0.8824,0.73463,0.78427,0.59872,0.97851,0.00195629,0.00195629,0.00195629
4,271.729,0.6673,0.44875,0.94528,0.98666,0.875,0.8841,0.7789,0.61336,0.47711,0.91635,0.0019604,0.0019604,0.0019604
5,340.481,0.66515,0.43878,0.93644,0.86877,0.875,0.87331,0.74259,0.74136,0.69394,0.967,0.0019472,0.0019472,0.0019472
6,421.32,0.74865,0.4849,0.96649,1,0.86228,0.89399,0.70576,0.86976,0.64852,0.99968,0.001934,0.001934,0.001934
7,494.015,0.66015,0.45778,0.92395,1,0.87427,0.8906,0.74471,0.7766,0.6047,1.00022,0.0019208,0.0019208,0.0019208
8,564.334,0.69988,0.44092,0.92836,0.863,0.875,0.87493,0.72487,0.736,0.53478,0.97972,0.0019076,0.0019076,0.0019076
9,633.87,0.72215,0.46066,0.93887,0.83053,0.75,0.7401,0.55331,0.96072,1.05934,1.04702,0.0018944,0.0018944,0.0018944
10,702.077,0.68157,0.43792,0.92599,0.988,0.75,0.78098,0.66561,0.80792,0.80471,0.98328,0.0018812,0.0018812,0.0018812
11,769.732,0.69015,0.45288,0.93273,0.99109,0.75,0.77016,0.63449,0.96417,1.09766,1.04991,0.001868,0.001868,0.001868
12,838.82,0.65799,0.42179,0.9189,0.99188,0.75,0.78605,0.67214,0.93251,1.16305,1.03761,0.0018548,0.0018548,0.0018548
13,906.224,0.64333,0.42315,0.92975,0.99213,0.75,0.78833,0.63849,0.90453,1.11094,1.04334,0.0018416,0.0018416,0.0018416
14,974.143,0.66051,0.42623,0.91571,0.95922,0.75,0.79972,0.65851,0.97827,0.88267,1.04506,0.0018284,0.0018284,0.0018284
15,1042.59,0.62839,0.41379,0.91185,0.99123,0.75,0.88059,0.75913,0.85887,0.73291,0.99244,0.0018152,0.0018152,0.0018152
16,1121.75,0.63784,0.46029,0.91232,0.99171,0.75,0.86169,0.74946,0.83742,1.05123,0.97089,0.001802,0.001802,0.001802
17,1190.06,0.66075,0.44047,0.93462,0.99103,0.75,0.80613,0.69485,0.75779,0.82564,0.95143,0.0017888,0.0017888,0.0017888
18,1258.35,0.65086,0.44064,0.9226,1,0.86704,0.88471,0.74673,0.70897,0.58573,0.95424,0.0017756,0.0017756,0.0017756
