epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5165.77,0.77373,0.55546,0.95188,1,0.84939,0.85861,0.69698,0.9313,1.66435,0.96816,0.0017228,0.0017228,0.0017228
44,5201.53,0.77448,0.56339,0.97084,1,0.85145,0.85806,0.70641,0.8824,1.41854,0.92349,0.0017162,0.0017162,0.0017162
45,5235.66,0.82278,0.5607,0.98285,1,0.84823,0.85706,0.6979,0.99048,1.59014,0.94132,0.0017096,0.0017096,0.0017096
46,5271.25,0.75752,0.51806,0.95532,0.98945,0.71429,0.80108,0.58638,1.09784,1.98978,0.97975,0.001703,0.001703,0.001703
47,5307.32,0.7844,0.5234,0.97477,0.98993,0.71429,0.73023,0.52457,1.1281,2.51897,1.01999,0.0016964,0.0016964,0.0016964
48,5343.43,0.79955,0.54847,0.9594,0.98772,0.71429,0.7358,0.55137,1.19208,2.50724,1.05721,0.0016898,0.0016898,0.0016898
49,5379.28,0.83533,0.55378,1.00493,0.97956,0.71429,0.76255,0.55051,1.38939,2.37021,1.08737,0.0016832,0.0016832,0.0016832
50,5415.24,0.77811,0.53342,0.95178,0.97916,0.71429,0.73455,0.56321,1.38778,2.67601,1.16799,0.0016766,0.0016766,0.0016766
51,5451.17,0.77357,0.53731,0.96515,0.98562,0.71429,0.72515,0.57282,1.27388,2.7427,1.15482,0.00167,0.00167,0.00167
52,5486.65,0.81574,0.52637,0.98367,0.98705,0.71429,0.72806,0.56445,1.33682,2.39544,1.06494,0.0016634,0.0016634,0.0016634
53,5522.86,0.80131,0.55212,0.97112,0.97624,0.71429,0.78756,0.61621,1.26818,1.93572,1.06247,0.0016568,0.0016568,0.0016568
54,5559.5,0.75856,0.52619,0.94964,0.9862,0.71429,0.81385,0.66233,0.84803,1.33894,0.86191,0.0016502,0.0016502,0.0016502
55,5596.91,0.77147,0.53792,0.95825,0.95388,0.71429,0.78342,0.59872,1.05596,1.93566,0.92288,0.0016436,0.0016436,0.0016436
56,5633.04,0.75106,0.51041,0.94829,0.98964,0.71429,0.82371,0.63053,1.2598,1.85791,1.01423,0.001637,0.001637,0.001637
57,5668.66,0.75325,0.5152,0.95713,0.98988,0.71429,0.84088,0.65727,1.29507,1.68941,1.07198,0.0016304,0.0016304,0.0016304
58,5703.67,0.70272,0.48923,0.93924,1,0.85352,0.86121,0.69948,1.25607,1.39014,1.04947,0.0016238,0.0016238,0.0016238
59,5739.68,0.83559,0.50903,0.97596,1,0.84927,0.85912,0.67582,1.07683,1.37834,0.98768,0.0016172,0.0016172,0.0016172
60,5775.71,0.80667,0.53488,0.96142,0.96135,0.71429,0.73522,0.54789,1.1274,2.32681,0.99237,0.0016106,0.0016106,0.0016106
61,5810.87,0.78619,0.53821,0.98023,0.98319,0.71429,0.72838,0.52115,1.27954,2.53332,1.06004,0.001604,0.001604,0.001604
62,5846.42,0.74571,0.51338,0.93729,0.9669,0.71429,0.72152,0.53939,1.40954,2.5739,1.21926,0.0015974,0.0015974,0.0015974
63,5882.97,0.75602,0.52832,0.94111,0.94438,0.71429,0.72841,0.5483,1.33172,2.7976,1.16198,0.0015908,0.0015908,0.0015908
64,5918.8,0.77597,0.50376,0.9636,0.98933,0.71429,0.72307,0.53796,1.36791,2.67093,1.11992,0.0015842,0.0015842,0.0015842
65,5954.34,0.73136,0.48722,0.92954,0.98985,0.71429,0.72146,0.53789,1.3739,2.65218,1.13631,0.0015776,0.0015776,0.0015776
