epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4193,0.86271,0.6219,1.01522,1,0.8519,0.85722,0.64034,1.38565,1.44492,1.08262,0.00048,0.00048,0.00048
2,59.6909,0.92645,0.61957,1.02217,1,0.84882,0.85695,0.71705,1.02655,1.56531,1.01706,0.000970298,0.000970298,0.000970298
3,93.4272,0.93625,0.67909,1.03884,0.98893,0.71429,0.82242,0.57459,1.3162,1.35395,0.99996,0.0014507,0.0014507,0.0014507
4,127.304,0.94281,0.65709,1.02725,0.83634,0.85714,0.83583,0.57944,1.55149,1.40818,1.05483,0.00192119,0.00192119,0.00192119
5,159.061,0.91513,0.70267,0.99531,0.98201,0.71429,0.7483,0.60639,1.47636,2.36113,1.09566,0.0019208,0.0019208,0.0019208
6,192.52,0.84363,0.63111,0.96259,0.97937,0.71429,0.71624,0.5779,1.21457,2.72036,1.09008,0.001901,0.001901,0.001901
7,226.506,0.88213,0.65771,0.98587,0.97755,0.71429,0.71651,0.47217,1.43337,2.85152,1.12862,0.0018812,0.0018812,0.0018812
8,259.437,0.91671,0.68937,0.98884,0.98575,0.71429,0.75579,0.57038,1.47892,2.27292,1.21241,0.0018614,0.0018614,0.0018614
9,293.375,0.92166,0.64306,0.9954,0.98208,0.71429,0.77755,0.61543,1.32883,1.94018,1.14034,0.0018416,0.0018416,0.0018416
10,326.631,0.82727,0.64033,0.96431,0.98568,0.71429,0.82281,0.63002,1.25695,1.71299,1.09761,0.0018218,0.0018218,0.0018218
11,358.902,0.82947,0.62136,0.96735,1,0.8483,0.86001,0.61062,1.47067,1.79188,1.15102,0.001802,0.001802,0.001802
12,391.858,0.85563,0.61759,0.9783,0.98969,0.71429,0.76557,0.50745,1.57908,2.2643,1.21468,0.0017822,0.0017822,0.0017822
