epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3322,1.09666,2.55302,0.96013,0.00261,1,0.85878,0.65898,1.17954,3.07346,1.0871,0.00048,0.00048,0.00048
2,35.9147,1.13763,1.60814,0.99609,0.00246,1,0.85537,0.58493,1.29728,3.22106,1.16769,0.000960596,0.000960596,0.000960596
3,53.5105,1.22545,1.50917,1.00152,1,0.57143,0.85515,0.47191,1.57443,2.98144,1.23971,0.00142139,0.00142139,0.00142139
4,70.45,1.17631,1.33013,0.99407,0.96238,0.71429,0.83538,0.58671,1.24271,2.7221,1.13048,0.00186239,0.00186239,0.00186239
5,88.6225,1.10087,1.25806,0.96476,0.87389,0.71429,0.71574,0.49713,1.42881,3.38537,1.35304,0.0018416,0.0018416,0.0018416
6,105.382,1.07256,1.17624,0.96264,0.98861,0.71429,0.82015,0.64941,1.46382,2.56595,1.43795,0.001802,0.001802,0.001802
7,123.769,1.03452,1.13196,0.98108,0.98734,0.71429,0.76765,0.5977,1.44098,2.66855,1.52008,0.0017624,0.0017624,0.0017624
8,147.094,1.01028,1.15198,0.95482,1,0.68952,0.7681,0.58226,1.45525,2.67691,1.5148,0.0017228,0.0017228,0.0017228
9,167.977,1.06215,1.01479,0.98032,0.97996,0.71429,0.77157,0.62482,1.51314,2.5731,1.48383,0.0016832,0.0016832,0.0016832
10,193.989,0.94796,1.01225,0.9651,1,0.67905,0.74939,0.5761,1.23688,2.59897,1.22007,0.0016436,0.0016436,0.0016436
11,218.735,1.02192,1.03968,0.9411,0.82911,0.69618,0.70901,0.54784,1.51756,2.43076,1.31951,0.001604,0.001604,0.001604
12,245.558,0.96887,0.9214,0.96972,0.97172,0.71429,0.76814,0.55373,1.29664,2.2508,1.16219,0.0015644,0.0015644,0.0015644
13,263.68,1.00018,0.89894,0.94225,0.98603,0.71429,0.75378,0.55009,1.35266,2.30708,1.15904,0.0015248,0.0015248,0.0015248
14,286.393,0.97213,0.9114,0.931,0.97989,0.71429,0.75557,0.53976,1.32107,2.24807,1.11353,0.0014852,0.0014852,0.0014852
15,303.52,0.98221,0.92245,0.97374,0.987,0.71429,0.76834,0.54722,1.2533,2.15453,1.10679,0.0014456,0.0014456,0.0014456
16,320.729,0.94907,0.86105,0.95396,0.97357,0.71429,0.74781,0.54838,1.34515,2.34578,1.13824,0.001406,0.001406,0.001406
17,345.009,0.9199,0.85373,0.93612,0.98326,0.71429,0.77539,0.54814,1.38039,2.2814,1.1741,0.0013664,0.0013664,0.0013664
